office,Name of UNICEF Implementing Partner,Province2,District,Palika,Rural/ Urban,Ward #,Community Name,UNICEF funding source,System new or rehabilated,Status,JMP service ladder - start,JMP service ladder - finish,# of HH's benefitted,# of schools benefitted,# of HCF's benefitted,Beneficiary population Male # (current),Beneficiary population female # (current),Beneficiary population person with disability # (current),Total Beneficiary population # (current),Team Formation,System analysis,Hazard mapping and risk analysis,Does the hazard mapping include climate change component,Preventive measures,Repair/rehabilitation/upgrade,Monitoring,Certification,Progress,WSP supporting activities,Consumer satisfaction,Documentation/reverification of plan,Remarks,Is the WSC solar powered?,Water Quality test carried out within last one year shows safe water?,Palikawide Water Quality monitoring mechanism established?,Water Available at HH premises?,Within 30 mins?,Is WSP implemented?,Provision of O & M fund available?,O & M SOP in place?,Has there been a flood or landslide during the past year?,"If there was a flood, was the scheme functionin?",Bank account of WUSC in place?,Caretaker in place?,Hygiene,Is the community declared water safe?,# of additional toilets built,People living in safely managed water safe community,Water Supply beneficiaries reporting year,WSC reporting year,Is the scheme functioning?,Estimated total cost (NPR)- Govt,Estimated total cost (NPR)- UNICEF,Estimated total cost (NPR)- community,Estimated total cost (NPR),Avegare per capita estimate,Actual total cost (NPR)- Govt2,Actual total cost (NPR)- UNICEF,Actual total cost (NPR)- community,Actual total cost (NPR),Avegare per capita actual,Column,helper function,checker
Dhangadi,TRIVENI NAGARPALIKA NA KA PA OFFICE,Sudurpashcim,BAJURA,Triveni,Urban,4,Toli,FINLAND - SC190665,Rehab,Completed,BASIC,SAFELY MANAGED,33,0,0,215,203,7,418,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Handed over to WUC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Basic,Yes,0,Safely Managed Water,2023,2023,Yes,"99,168.31","165,280.51","66,112.20","330,561.02",790.82,"653,364.55","1,088,940.91","435,576.36","2,177,881.82","5,210.24", ,,"DhangadiTRIVENI NAGARPALIKA NA KA PA OFFICESudurpashcimBAJURATriveniUrban4ToliFINLAND - SC190665RehabCompletedBASICSAFELY MANAGED33002152037418YesYesYesYesYesYesYesYesCompletedYesYesYesHanded over to WUCNoYesYesYesYesYesYesYesNoNoYesYesBasicYes0Safely Managed Water20232023Yes 99,168.31 165,280.51 66,112.20 330,561.02 790.82 653,364.55 1,088,940.91 435,576.36 2,177,881.82 5,210.24"
Dhangadi,TRIVENI NAGARPALIKA NA KA PA OFFICE,Sudurpashcim,BAJURA,Triveni,Urban,6,Dalit Basthi,FINLAND - SC190665,Rehab,Completed,BASIC,SAFELY MANAGED,71,0,0,212,220,9,432,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Handed over to WUC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Limited,Yes,0,No,2023,2025,Yes,"834,312.00","1,390,520.00","556,208.00","2,781,040.00","6,437.59","99,168.31","165,280.51","66,112.20","330,561.02",765.19, ,17985.62388,"DhangadiTRIVENI NAGARPALIKA NA KA PA OFFICESudurpashcimBAJURATriveniUrban6Dalit BasthiFINLAND - SC190665RehabCompletedBASICSAFELY MANAGED71002122209432YesYesYesYesYesYesYesYesCompletedYesYesYesHanded over to WUCNoYesYesYesYesYesYesYesNoNoYesYesLimitedYes0No20232025Yes 834,312.00 1,390,520.00 556,208.00 2,781,040.00 6,437.59 99,168.31 165,280.51 66,112.20 330,561.02 765.19"
Dhangadi,TRIVENI NAGARPALIKA NA KA PA OFFICE,Sudurpashcim,Bajura,Triveni,Urban,3,Malagada ,Global - Water Sanitation & Hygiene -SC229906,New,Completed,BASIC,SAFELY MANAGED,117,1,0,415,430,7,845,Yes,Yes,Yes,yes,Yes,yes,yes,Yes,Completed,Yes,Yes,Yes,Handed over to WUC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Flood did not impact WSC,Yes,Yes,Basic,Yes,12,Safely Managed Water,2024,2024,Yes,"657,425.00","1,095,709.00","438,284.00","2,191,418.00","2,593.39","831,755.95","1,386,259.91","554,503.96","2,772,519.82","3,281.09", ,,"DhangadiTRIVENI NAGARPALIKA NA KA PA OFFICESudurpashcimBajuraTriveniUrban3Malagada Global - Water Sanitation & Hygiene -SC229906NewCompletedBASICSAFELY MANAGED117104154307845YesYesYesyesYesyesyesYesCompletedYesYesYesHanded over to WUCNoYesYesYesYesYesYesYesYesFlood did not impact WSCYesYesBasicYes12Safely Managed Water20242024Yes 657,425.00 1,095,709.00 438,284.00 2,191,418.00 2,593.39 831,755.95 1,386,259.91 554,503.96 2,772,519.82 3,281.09"
Dhangadi,TRIVENI NAGARPALIKA NA KA PA OFFICE,Sudurpashcim,Bajura,Triveni,Urban,4,Dhakena ,Global - Water Sanitation & Hygiene -SC229906,New,Completed,BASIC,SAFELY MANAGED,80,1,0,255,204,5,459,Yes,Yes,Yes,yes,Yes,yes,yes,Yes,Completed,Yes,Yes,Yes,Handed over to WUC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Flood did not impact WSC,Yes,Yes,Basic,Yes,8,Safely Managed Water,2024,2024,Yes,"700,000.00","1,100,000.00","400,000.00","2,200,000.00","4,793.03","654,236.17","1,090,393.62","436,157.45","2,180,787.24","4,751.17", ,,"DhangadiTRIVENI NAGARPALIKA NA KA PA OFFICESudurpashcimBajuraTriveniUrban4Dhakena Global - Water Sanitation & Hygiene -SC229906NewCompletedBASICSAFELY MANAGED80102552045459YesYesYesyesYesyesyesYesCompletedYesYesYesHanded over to WUCNoYesYesYesYesYesYesYesYesFlood did not impact WSCYesYesBasicYes8Safely Managed Water20242024Yes 700,000.00 1,100,000.00 400,000.00 2,200,000.00 4,793.03 654,236.17 1,090,393.62 436,157.45 2,180,787.24 4,751.17"
Dhangadi,Purchaundi,Sudurpashcim,Baitadi,Purchaundi,Urban,1,Hat,FINLAND - SC190665,Rehab,Completed,UNIMPROVED,SAFELY MANAGED,158,2,0,845,856,0,1701,Yes,Yes,Yes,yes,Yes,yes,yes,No,Not Completed,Yes,Yes,Yes,Handed over to WUC,No,Yes,yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Basic,Yes,9,1701,2025,2025,Yes,"200,000.00","2,550,000.00","900,000.00","3,650,000.00","2,145.80","500,000.00","2,550,000.00","500,000.00","3,650,000.00","2,145.80",,17985.62388,"DhangadiPurchaundiSudurpashcimBaitadiPurchaundiUrban1HatFINLAND - SC190665RehabCompletedUNIMPROVEDSAFELY MANAGED1582084585601701YesYesYesyesYesyesyesNoNot CompletedYesYesYesHanded over to WUCNoYesyesYesYesYesYesYesNoNoYesYesBasicYes9170120252025Yes 200,000.00 2,550,000.00 900,000.00 3,650,000.00 2,145.80 500,000.00 2,550,000.00 500,000.00 3,650,000.00 2,145.80"
Dhangadi,NEEDS,Sudurpashcim,Kanchanpur,Betkot,Urban,"9, 10",Baijanath Suda ,Global - Water Sanitation & Hygiene -SC229906,Rehab,Completed,BASIC,BASIC+,470,3,1,940,1410,2,2350,Yes,Yes,Yes,yes,Yes,yes,yes,No,Completed,Yes,Yes,Yes, ,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Basic,No,0,No,2023,NA,Yes,0,"500,000.00",0,500000,212.77,0,"503,199.00",0,"503,199.00",214.13, ,,"DhangadiNEEDSSudurpashcimKanchanpurBetkotUrban9, 10Baijanath Suda Global - Water Sanitation & Hygiene -SC229906RehabCompletedBASICBASIC+47031940141022350YesYesYesyesYesyesyesNoCompletedYesYesYes NoYesNoYesYesYesYesYesNoNoYesYesBasicNo0No2023NAYes 0.00 500,000.00 0.00500000 212.77 0.00 503,199.00 0.00 503,199.00 214.13"
Dhangadi,NEEDS,Sudurpashcim,Kanchanpur,Betkot,Urban,"6, 7, 8",SudaTown WSS,Global - Water Sanitation & Hygiene -SC229906,Rehab,Completed,BASIC,BASIC+,2325,6,2,4650,6975,0,11625,Yes,Yes,Yes,yes,Yes,yes,yes,No,Completed,Yes,Yes,Yes, ,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Basic,No,0,No,2023,```,Yes,0,"500,000.00",0,"500,000.00",43.01,0,"299,293.00",0,"299,293.00",25.75, ,,"DhangadiNEEDSSudurpashcimKanchanpurBetkotUrban6, 7, 8SudaTown WSSGlobal - Water Sanitation & Hygiene -SC229906RehabCompletedBASICBASIC+23256246506975011625YesYesYesyesYesyesyesNoCompletedYesYesYes NoYesNoYesYesYesYesYesNoNoYesYesBasicNo0No2023```Yes 0.00 500,000.00 0.00 500,000.00 43.01 0.00 299,293.00 0.00 299,293.00 25.75"
Dhangadi,NEEDS,Sudurpashcim,Kanchanpur,Shuklafata,Urban,"4, 6, 10",Jhalari ,Global - Water Sanitation & Hygiene -SC229906,Rehab,Completed,BASIC,BASIC+,813,6,1,1626,2439,3,4065,Yes,Yes,Yes,yes,Yes,yes,yes,No,Completed,Yes,Yes,Yes, ,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Basic,No,0,No,2023,NA,Yes,0,"500,000.00",0,"500,000.00",123,0,"500,093.00",0,"500,093.00",123.02, ,,"DhangadiNEEDSSudurpashcimKanchanpurShuklafataUrban4, 6, 10Jhalari Global - Water Sanitation & Hygiene -SC229906RehabCompletedBASICBASIC+813611626243934065YesYesYesyesYesyesyesNoCompletedYesYesYes NoYesNoYesYesYesYesYesNoNoYesYesBasicNo0No2023NAYes 0.00 500,000.00 0.00 500,000.00 123.00 0.00 500,093.00 0.00 500,093.00 123.02"
Dhangadi,NEEDS,Sudurpashcim,Kanchanpur,Shuklafata,Urban,11,Amarpur Dipnagar ,Global - Water Sanitation & Hygiene -SC229906,Rehab,Completed,BASIC,BASIC+,500,3,1,1000,1500,0,2500,Yes,Yes,Yes,yes,Yes,yes,yes,No,Completed,Yes,Yes,Yes, ,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Basic,No,0,No,2023,NA,Yes,0,"500,000.00",0,"500,000.00",200,0,"500,000.00",0,"500,000.00",200, ,,"DhangadiNEEDSSudurpashcimKanchanpurShuklafataUrban11Amarpur Dipnagar Global - Water Sanitation & Hygiene -SC229906RehabCompletedBASICBASIC+500311000150002500YesYesYesyesYesyesyesNoCompletedYesYesYes NoYesNoYesYesYesYesYesNoNoYesYesBasicNo0No2023NAYes 0.00 500,000.00 0.00 500,000.00 200.00 0.00 500,000.00 0.00 500,000.00 200.00"
Dhangadi,NEEDS,Sudurpashcim,DOTI,Jorayal,Rural,2,Budar,RR FUND (Non-Grant),Rehab,Completed,BASIC,SAFELY MANAGED,210,1,1,662,689,35,1351,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Completed and handed over to WUC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No - O & E was not sufficient,Yes,Yes,Basic,Yes,0,Safely Managed Water,2024,2024,Yes,0,"882,800.00","700,000.00","1,582,800.00","1,172.01",0,"704,653.00","700,000.00","1,404,653.00","1,040.10", ,,"DhangadiNEEDSSudurpashcimDOTIJorayalRural2BudarRR FUND (Non-Grant)RehabCompletedBASICSAFELY MANAGED21011662689351351YesYesYesYesYesYesYesYesCompletedYesYesYesCompleted and handed over to WUCNoYesYesYesYesYesYesYesYesNo - O & E was not sufficientYesYesBasicYes0Safely Managed Water20242024Yes 0.00 882,800.00 700,000.00 1,582,800.00 1,172.01 0.00 704,653.00 700,000.00 1,404,653.00 1,040.10"
